Customer ID,Order Date,Order Time,Order Serving Time,Waiting Time,Item Name,Order Value (CAD$),Payment Method
987678,11/8/2023,12:09:44,12:16:00,6.16,Dark Coffee,3.33,Credit Card
24876583,11/8/2023,12:42:47,12:47:51,5.4,Cappuccino,4.5,Cash
309568932,11/8/2023,12:44:48,12:51:26,5.98,Dark Coffee,3.33,Debit Card
7992342,11/8/2023,12:44:51,12:52:15,7.24,Latte,4.25,Cash
65727532,11/8/2023,13:46:48,13:54:15,6.87,Mocha,4.75,Cash
92877349,11/8/2023,13:50:35,13:54:37,4.02,Dark Coffee,3.33,Cash
5273728872,11/8/2023,13:52:28,13:59:03,5.95,Americano,3,Debit Card
882637273,11/8/2023,13:54:07,13:59:32,4.85,Latte,4.25,Credit Card
527367827,11/8/2023,13:54:31,13:58:40,4.9,Cappuccino,4.5,Credit Card
,,,,,,,
98747263,11/8/2023,12:57:06,13:02:47,5.41,Dark Coffee,3.33,Debit Card
52783727,11/8/2023,12:58:46,13:04:00,5.14,Espresso,2.75,Credit Card
682738289,11/8/2023,13:00:02,13:06:47,6.45,Americano,3,Cash
527632782,11/8/2023,13:00:05,13:06:21,5.76,Latte,4.25,Cash
652783728,11/8/2023,13:00:28,13:05:40,5.12,Mocha,4.75,Credit Card
62837283,11/8/2023,13:03:44,13:09:28,5.44,Espresso,2.75,Credit Card
82736273,11/8/2023,13:04:11,13:09:44,5.33,Dark Coffee,3.33,Credit Card
673283723,11/8/2023,13:04:29,13:11:18,6.49,Cappuccino,4.5,Debit Card
82736782,11/8/2023,13:04:30,13:09:49,4.79,Cappuccino,4.5,Cash
,,,,,,,
78235167,11/8/2023,12:04:48,12:10:19,5.31,Latte,4.25,Credit Card
33499524,11/8/2023,12:04:55,12:09:10,4.15,Latte,4.25,Debit Card
93889414,11/8/2023,12:05:18,12:08:03,2.45,Dark Coffee,3.33,Cash
49350535,11/8/2023,12:07:32,12:13:37,5.65,Dark Coffee,3.33,Credit Card
46377094,11/8/2023,12:09:41,12:16:07,5.86,Latte,4.25,Cash
92074118,11/8/2023,12:11:04,12:15:30,4.26,Mocha,4.75,Cash
43132683,11/8/2023,12:11:24,12:18:51,7.27,Mocha,4.75,Cash
20903180,11/8/2023,12:12:34,12:16:29,3.55,Dark Coffee,3.33,Credit Card
75501970,11/8/2023,12:13:29,12:18:34,5.05,Mocha,4.75,Debit Card
35526419,11/8/2023,12:15:22,12:20:43,4.81,Latte,4.25,Debit Card
,,,,,,,
96034068,11/8/2023,12:19:17,12:26:10,6.53,Latte,4.25,Credit Card
96034068,11/8/2023,12:20:43,12:27:30,6.47,Dark Coffee,3.33,Debit Card
18920727,11/8/2023,12:21:09,12:26:24,5.15,Mocha,4.75,Credit Card
38692893,11/8/2023,13:10:56,13:16:34,5.38,Latte,4.25,Cash
91245600,11/8/2023,13:23:24,13:27:35,4.11,Americano,3,Credit Card
96492449,11/8/2023,13:23:29,13:26:31,3.02,Latte,4.25,Cash
21597856,11/8/2023,13:23:40,13:28:45,4.65,Latte,4.25,Credit Card
26670118,11/8/2023,13:25:40,13:30:56,5.16,Dark Coffee,3.33,Credit Card
33617447,11/8/2023,13:26:34,13:32:57,6.23,Cappuccino,4.5,Credit Card
12267817,11/8/2023,13:27:05,13:33:07,6.2,Cappuccino,4.5,Credit Card
,,,,,,,
18021418,11/8/2023,12:30:30,12:35:31,4.61,Americano,3,Cash
61371567,11/8/2023,12:32:50,12:36:57,4.7,Americano,3,Cash
53639472,11/8/2023,12:34:30,12:39:05,3.95,Dark Coffee,3.33,Debit Card
93356599,11/8/2023,12:34:42,12:38:40,3.58,Americano,3,Cash
65768121,11/8/2023,12:55:23,12:58:52,3.29,Latte,4.25,Debit Card
91367227,11/8/2023,12:59:12,13:06:47,6.95,Americano,3,Credit Card
91427004,11/8/2023,13:03:19,13:08:08,4.49,Dark Coffee,3.33,Credit Card
67956926,11/8/2023,13:22:21,13:27:17,4.56,Americano,3,Debit Card
22302657,11/8/2023,13:48:53,13:53:08,3.75,Latte,4.25,Cash
84947782,11/8/2023,13:54:34,14:00:52,5.78,Dark Coffee,3.33,Credit Card
17103688,11/8/2023,13:58:39,14:02:18,3.39,Cappuccino,4.5,Debit Card
,,,,,,,
71348042,11/8/2023,10:04:37,,4.79,Americano,3,Debit Card
91885515,11/8/2023,10:06:06,,6,Dark Coffee,3.33,Debit Card
73260622,11/8/2023,10:20:50,,5.4,Cappuccino,4.5,Debit Card
53310928,11/8/2023,10:23:54,,5.98,Americano,3,Debit Card
53745365,11/8/2023,10:24:11,,6,Americano,3,Debit Card
53745365,11/8/2023,10:32:19,,6,Dark Coffee,3.33,Cash
31374551,11/8/2023,10:38:45,,4.02,Americano,3,Credit Card
18951768,11/8/2023,10:40:27,,5.95,Cappuccino,4.5,Credit Card
40452953,11/8/2023,10:43:51,,4.85,Latte,4.25,Cash
70161624,11/8/2023,10:45:33,,4.9,Cappuccino,4.5,Cash
48912610,11/8/2023,10:48:04,,5.41,Americano,3,Cash
82744804,11/8/2023,10:48:58,,5.14,Mocha,4.75,Cash
20501734,11/8/2023,10:49:14,,6,Latte,4.25,Credit Card
94635242,11/8/2023,10:55:48,,5.76,Latte,4.25,Credit Card
41113324,11/8/2023,10:56:43,,5.12,Mocha,4.75,Credit Card
94280177,11/8/2023,11:02:08,,5.44,Dark Coffee,3.33,Credit Card
56266482,11/8/2023,11:02:30,,5.33,Cappuccino,4.5,Cash
21699961,11/8/2023,11:03:16,,6,Latte,4.25,Credit Card
46594043,11/8/2023,11:04:10,,4.79,Dark Coffee,3.33,Debit Card
40756479,11/8/2023,11:06:51,,5.31,Cappuccino,4.5,Credit Card
76065792,11/8/2023,11:07:01,,4.15,Cappuccino,4.5,Debit Card
23051797,11/8/2023,11:08:34,,2.45,Dark Coffee,3.33,Credit Card
85901337,11/8/2023,11:08:42,,5.65,Cappuccino,4.5,Cash
82191901,11/8/2023,11:10:25,,5.86,Dark Coffee,3.33,Cash
44048416,11/8/2023,11:10:44,,4.26,Latte,4.25,Credit Card
31920675,11/8/2023,11:12:06,,6,Mocha,4.75,Credit Card
60257828,11/8/2023,11:12:57,,3.55,Dark Coffee,3.33,Credit Card
52611623,11/8/2023,11:16:27,,5.05,Americano,3,Debit Card
90947118,11/8/2023,11:22:51,,4.81,Latte,4.25,Cash
66866222,11/8/2023,11:25:36,,6,Cappuccino,4.5,Credit Card
54643248,11/8/2023,11:27:07,,6,Dark Coffee,3.33,Debit Card
87533116,11/8/2023,11:30:00,,5.15,Espresso,2.75,Cash
90601021,11/8/2023,11:33:11,,5.38,Americano,3,Credit Card
20212297,11/8/2023,11:36:03,,4.11,Latte,4.25,Cash
64475210,11/8/2023,11:36:46,,3.02,Mocha,4.75,Cash
50099793,11/8/2023,11:38:43,,4.65,Espresso,2.75,Cash
98869843,11/8/2023,11:39:25,,5.16,Dark Coffee,3.33,Credit Card
79968853,11/8/2023,11:40:57,,6,Cappuccino,4.5,Debit Card
85434972,11/8/2023,11:43:51,,6,Cappuccino,4.5,Debit Card
22156894,11/8/2023,11:44:52,,4.61,Latte,4.25,Credit Card
83204703,11/8/2023,11:46:39,,4.7,Latte,4.25,Debit Card
46740576,11/8/2023,11:46:46,,3.95,Dark Coffee,3.33,Credit Card
36348512,11/8/2023,11:49:51,,3.58,Dark Coffee,3.33,Cash
81346662,11/8/2023,11:51:07,,3.29,Latte,4.25,Credit Card
37562989,11/8/2023,11:54:32,,6,Mocha,4.75,Cash
60268658,11/8/2023,11:54:57,,4.49,Mocha,4.75,Credit Card
19763316,11/8/2023,11:59:08,,4.56,Dark Coffee,3.33,Credit Card
75405438,11/8/2023,12:06:38,,3.75,Mocha,4.75,Credit Card
98953355,11/8/2023,12:12:55,,5.78,Latte,4.25,Credit Card
57855115,11/8/2023,12:13:40,,3.39,Latte,4.25,Cash
31725719,11/8/2023,13:32:26,,4.79,Dark Coffee,3.33,Cash
24956063,11/8/2023,13:36:18,,4,Mocha,4.75,Debit Card
37090463,11/8/2023,13:38:17,,3.4,Latte,4.25,Cash
80127143,11/8/2023,13:39:58,,3.98,Americano,3,Debit Card
90794152,11/8/2023,13:40:43,,4,Latte,4.25,Debit Card
96697519,11/8/2023,13:42:57,,4,Latte,4.25,Credit Card
79355575,11/8/2023,13:43:13,,2.02,Dark Coffee,3.33,Cash
32264890,11/8/2023,13:45:30,,3.95,Cappuccino,4.5,Cash
78149819,11/8/2023,13:49:24,,2.85,Cappuccino,4.5,Credit Card
39951549,11/8/2023,13:55:58,,2.9,Americano,3,Credit Card
88211138,11/8/2023,13:56:16,,3.41,Americano,3,Credit Card
34969289,11/8/2023,13:56:53,,3.14,Dark Coffee,3.33,Debit Card
54216395,11/8/2023,13:57:10,,4,Americano,3,Cash
61672139,11/8/2023,13:57:28,,3.76,Latte,4.25,Credit Card
61892813,11/8/2023,13:58:28,,3.12,Americano,3,Debit Card
81453263,11/8/2023,14:01:43,,3.44,Dark Coffee,3.33,Cash
28026064,11/8/2023,14:02:22,,3.33,Americano,3,Credit Card
81112784,11/8/2023,14:02:53,,4,Latte,4.25,Cash
20963542,11/8/2023,14:03:07,,2.79,Dark Coffee,3.33,Cash
52357342,11/8/2023,14:03:14,,3.31,Cappuccino,4.5,Cash
69125344,11/8/2023,14:04:27,,2.15,Americano,3,Credit Card
51983078,11/8/2023,14:08:16,,2.45,Dark Coffee,3.33,Debit Card
76977895,11/8/2023,14:10:25,,3.65,Cappuccino,4.5,Debit Card
31579880,11/8/2023,14:10:25,,3.86,Americano,3,Credit Card
15105775,11/8/2023,14:11:15,,2.26,Americano,3,Debit Card
20058863,11/8/2023,14:11:54,,4,Dark Coffee,3.33,Credit Card
99145462,11/8/2023,14:12:33,,2.55,Americano,3,Cash
27322616,11/8/2023,14:12:51,,3.05,Cappuccino,4.5,Credit Card
30171390,11/8/2023,14:13:47,,2.81,Latte,4.25,Cash
73604862,11/8/2023,14:20:06,,4,Cappuccino,4.5,Credit Card
61307136,11/8/2023,14:20:06,,4,Americano,3,Credit Card
73196800,11/8/2023,14:21:57,,3.15,Mocha,4.75,Credit Card
19759361,11/8/2023,14:24:23,,3.38,Latte,4.25,Credit Card
91046667,11/8/2023,14:25:06,,2.11,Latte,4.25,Cash
54344978,11/8/2023,14:32:20,,2.02,Mocha,4.75,Cash
40290070,11/8/2023,14:35:14,,2.65,Dark Coffee,3.33,Debit Card
62733590,11/8/2023,14:39:39,,3.16,Cappuccino,4.5,Cash
65602842,11/8/2023,14:39:46,,4,Latte,4.25,Debit Card
15207194,11/8/2023,14:40:57,,4,Dark Coffee,3.33,Debit Card
95702813,11/8/2023,14:41:12,,2.61,Cappuccino,4.5,Credit Card
97252638,11/8/2023,14:44:34,,2.7,Cappuccino,4.5,Cash
72965409,11/8/2023,14:46:01,,2.95,Dark Coffee,3.33,Cash
88354083,11/8/2023,14:46:10,,2.58,Cappuccino,4.5,Credit Card
87209776,11/8/2023,14:47:15,,2.29,Dark Coffee,3.33,Credit Card
26519345,11/8/2023,14:48:10,,4,Latte,4.25,Credit Card
85649714,11/8/2023,14:48:42,,2.49,Mocha,4.75,Debit Card
37138231,11/8/2023,14:50:10,,2.56,Dark Coffee,3.33,Cash
76842808,11/8/2023,14:56:00,,2.75,Americano,3,Credit Card
38399801,11/8/2023,15:07:55,,3.78,Latte,4.25,Debit Card
86240568,11/8/2023,15:18:40,,2.39,Cappuccino,4.5,Cash
69432642,11/8/2023,16:27:16,,2.79,Dark Coffee,3.33,Credit Card
15788358,11/8/2023,16:34:49,,3.76,Espresso,2.75,Cash
99080008,11/8/2023,16:36:48,,3.4,Americano,3,Cash
27615561,11/8/2023,16:50:31,,3.98,Latte,4.25,Cash
66604877,11/8/2023,16:56:17,,3.24,Mocha,4.75,Credit Card
93355341,11/8/2023,17:02:20,,3.87,Espresso,2.75,Debit Card
12755791,11/8/2023,17:03:30,,2.02,Dark Coffee,3.33,Debit Card
32669525,11/8/2023,17:06:43,,3.95,Cappuccino,4.5,Credit Card
89254742,11/8/2023,17:09:46,,2.85,Cappuccino,4.5,Debit Card
50285914,11/8/2023,17:15:11,,2.9,Latte,4.25,Credit Card
42176866,11/8/2023,17:15:31,,3.41,Latte,4.25,Cash
90615141,11/8/2023,17:18:31,,3.14,Dark Coffee,3.33,Credit Card
57421674,11/8/2023,17:19:08,,3.45,Dark Coffee,3.33,Cash
97066361,11/8/2023,17:21:01,,3.76,Latte,4.25,Credit Card
86335356,11/8/2023,17:21:46,,3.12,Mocha,4.75,Credit Card
23103357,11/8/2023,17:22:30,,3.44,Mocha,4.75,Credit Card
18588544,11/8/2023,17:22:57,,3.33,Dark Coffee,3.33,Credit Card
69604740,11/8/2023,17:29:54,,3.49,Mocha,4.75,Cash
77257606,11/8/2023,17:30:26,,2.79,Latte,4.25,Cash
60903305,11/8/2023,17:32:24,,3.31,Latte,4.25,Debit Card
16235913,11/8/2023,17:33:03,,2.15,Dark Coffee,3.33,Cash
29851042,11/8/2023,17:37:20,,2.45,Mocha,4.75,Debit Card
95471011,11/8/2023,17:38:36,,3.65,Latte,4.25,Debit Card
89835949,11/8/2023,17:38:57,,3.86,Americano,3,Credit Card
83414453,11/8/2023,17:39:00,,2.26,Latte,4.25,Cash
33784247,11/8/2023,17:39:13,,3.27,Latte,4.25,Cash
27786680,11/8/2023,17:40:24,,2.55,Dark Coffee,3.33,Credit Card
25184193,11/8/2023,17:41:03,,3.05,Cappuccino,4.5,Credit Card
37933516,11/8/2023,17:43:32,,2.81,Cappuccino,4.5,Credit Card
85954509,11/8/2023,17:47:49,,3.53,Americano,3,Debit Card
55462861,11/8/2023,17:49:42,,3.47,Americano,3,Cash
61279695,11/8/2023,17:51:16,,3.15,Dark Coffee,3.33,Credit Card
32462292,11/8/2023,17:52:37,,3.38,Americano,3,Debit Card
73140183,11/8/2023,17:56:22,,2.11,Latte,4.25,Cash
23926749,11/8/2023,17:59:24,,2.02,Americano,3,Credit Card
65657310,11/8/2023,18:02:15,,2.65,Dark Coffee,3.33,Cash
91891679,11/8/2023,18:03:47,,3.16,Americano,3,Cash
23424993,11/8/2023,18:07:38,,3.23,Latte,4.25,Cash
95420385,11/8/2023,18:08:56,,3.2,Dark Coffee,3.33,Credit Card
11024870,11/8/2023,18:12:46,,2.61,Cappuccino,4.5,Debit Card
58759656,11/8/2023,18:13:16,,2.7,Americano,3,Debit Card
72700906,11/8/2023,18:17:43,,2.95,Dark Coffee,3.33,Credit Card
96535019,11/8/2023,18:21:55,,2.58,Cappuccino,4.5,Debit Card
48486379,11/8/2023,18:31:59,,2.29,Americano,3,Credit Card
74881517,11/8/2023,18:34:23,,3.95,Americano,3,Cash
80017906,11/8/2023,18:35:17,,2.49,Dark Coffee,3.33,Credit Card
10588658,11/8/2023,18:38:00,,2.56,Americano,3,Cash
48248823,11/8/2023,18:39:29,,2.75,Cappuccino,4.5,Credit Card
48346106,11/8/2023,18:47:32,,3.78,Latte,4.25,Credit Card
81581053,11/8/2023,18:58:35,,2.39,Cappuccino,4.5,Credit Card